,datetime,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Prediction
333,2023-01-23,AMD,72.22000122070312,76.58999633789062,71.54000091552734,76.52999877929688,84293200.0,0.0,0.0,6.459999084472656,0.0,6.459999084472656,78.06401883831799,60.04999923706055,76.58999633789062,99.63725774419429,-0.3627422558057097,0.9507182362301876,0.6115204349619795,0.13816182645260033,430607000.0,1.0
334,2023-01-24,AMD,73.75,75.63999938964844,73.41999816894531,74.69999694824219,60822600.0,0.0,0.0,-1.8300018310546875,1.8300018310546875,0.0,68.43234228904547,60.04999923706055,76.58999633789062,88.5731576727206,-11.426842327279402,1.110241923684427,0.714902153560834,0.0977221689678176,369784400.0,-1.0
335,2023-01-25,AMD,72.9000015258789,75.12000274658203,72.08999633789062,74.91000366210938,49932600.0,0.0,0.0,0.2100067138671875,0.0,0.2100067138671875,68.93978268333655,60.04999923706055,76.58999633789062,89.84284782192049,-10.15715217807951,1.2300698176768918,0.8209198183569871,0.08470904011475255,419717000.0,1.0
336,2023-01-26,AMD,76.5,77.08000183105469,74.27999877929688,75.16000366210938,49583900.0,0.0,0.0,0.25,0.0,0.25,69.61077422992956,60.04999923706055,77.08000183105469,88.72579050796841,-11.274209492031586,1.3216613623788902,0.9233752176517988,0.06158192687031683,469300900.0,1.0
337,2023-01-27,AMD,73.69999694824219,76.73999786376953,73.48999786376953,75.4000015258789,58118600.0,0.0,0.0,0.23999786376953125,0.0,0.23999786376953125,70.32096912864966,65.66999816894531,77.08000183105469,85.27607567073122,-14.723924329268781,1.3907125089646115,1.0185573243147599,0.061971852477167744,527419500.0,1.0
338,2023-01-30,AMD,74.2300033569336,74.63999938964844,72.4000015258789,72.44999694824219,48105200.0,0.0,0.0,-2.9500045776367188,2.9500045776367188,0.0,52.81523434435654,66.55999755859375,77.08000183105469,55.98856461557875,-44.01143538442125,1.2376241538037505,1.0630113400970775,0.012012860096996425,479314300.0,-1.0
339,2023-01-31,AMD,72.26000213623047,75.19999694824219,72.02999877929688,75.1500015258789,71669100.0,0.0,0.0,2.7000045776367188,0.0,2.7000045776367188,62.63766953392162,67.18000030517578,77.08000183105469,80.5050504272075,-19.494949572792507,1.2806950504228354,1.107055881147606,0.06550408090944382,550983400.0,1.0
340,2023-02-01,AMD,78.47000122070312,85.4800033569336,77.87999725341797,84.63999938964844,152548200.0,0.0,0.0,9.489997863769531,0.0,9.489997863769531,79.7410898521399,67.18000030517578,85.4800033569336,95.40981515189164,-4.590184848108369,1.9264745464632682,1.2724652463241415,0.25003693005599503,703531600.0,1.0
341,2023-02-02,AMD,84.29000091552734,88.94000244140625,83.19999694824219,88.30999755859375,97762100.0,0.0,0.0,3.6699981689453125,0.0,3.6699981689453125,83.17738301501106,67.2699966430664,88.94000244140625,97.09273320609464,-2.9072667939053582,2.6496590920140193,1.5499515026438377,0.2603110881006161,801293700.0,1.0
342,2023-02-03,AMD,86.66000366210938,88.80000305175781,85.83000183105469,86.08999633789062,66557800.0,0.0,0.0,-2.220001220703125,2.220001220703125,0.0,74.37253276804508,67.2699966430664,88.94000244140625,86.8481525568675,-13.151847443132509,3.0282884089251354,1.8473745597452074,0.12491830277122573,734735900.0,-1.0
343,2023-02-06,AMD,84.62999725341797,86.27999877929688,83.22000122070312,83.68000030517578,53008900.0,0.0,0.0,-2.4099960327148438,2.4099960327148438,0.0,65.66559170318877,67.2699966430664,88.94000244140625,75.72680789668527,-24.27319210331472,3.120938110786156,2.1032958239537494,0.12021423994375291,681727000.0,-1.0
344,2023-02-07,AMD,84.31999969482422,86.25,82.5199966430664,85.91000366210938,65291900.0,0.0,0.0,2.2300033569335938,0.0,2.2300033569335938,69.48037070344998,67.2699966430664,88.94000244140625,86.01754513822509,-13.982454861774912,3.3112867674391993,2.3458102060826627,0.14684287094173465,747018900.0,1.0
345,2023-02-08,AMD,85.87999725341797,88.0,84.54000091552734,84.69000244140625,54140400.0,0.0,0.0,-1.220001220703125,1.220001220703125,0.0,64.92665905224183,67.44999694824219,88.94000244140625,80.22336475738958,-19.776635242610425,3.3349936542601455,2.544246633018346,0.12679614575512943,692878500.0,-1.0
