datetime,symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03,GOOG,89.83000183105469,91.55000305175781,89.0199966430664,89.69999694824219,20738500.0,0.0,0.0
2023-01-04,GOOG,91.01000213623047,91.23999786376953,87.80000305175781,88.70999908447266,27046500.0,0.0,0.0
2023-01-05,GOOG,88.06999969482422,88.20999908447266,86.55999755859375,86.7699966430664,23136100.0,0.0,0.0
2023-01-06,GOOG,87.36000061035156,88.47000122070312,85.56999969482422,88.16000366210938,26612600.0,0.0,0.0
2023-01-09,GOOG,89.19499969482422,90.83000183105469,88.58000183105469,88.80000305175781,22996700.0,0.0,0.0
2023-01-10,GOOG,86.72000122070312,89.4749984741211,86.69999694824219,89.23999786376953,22855600.0,0.0,0.0
2023-01-11,GOOG,90.05999755859375,92.44999694824219,89.73999786376953,92.26000213623047,25998800.0,0.0,0.0
2023-01-12,GOOG,92.4000015258789,92.62000274658203,90.56999969482422,91.91000366210938,22754200.0,0.0,0.0
2023-01-13,GOOG,91.52799987792969,92.9800033569336,90.93000030517578,92.80000305175781,18630700.0,0.0,0.0
2023-01-17,GOOG,92.77999877929688,92.97000122070312,90.83999633789062,92.16000366210938,22935800.0,0.0,0.0
2023-01-18,GOOG,92.94000244140625,93.58799743652344,91.4000015258789,91.77999877929688,19641600.0,0.0,0.0
2023-01-19,GOOG,91.38999938964844,94.4000015258789,91.37999725341797,93.91000366210938,28707700.0,0.0,0.0
2023-01-20,GOOG,95.94999694824219,99.41999816894531,95.91000366210938,99.27999877929688,53704800.0,0.0,0.0
2023-01-23,GOOG,99.12999725341797,101.4000015258789,98.75,101.20999908447266,31791800.0,0.0,0.0
2023-01-24,GOOG,99.55000305175781,101.08999633789062,98.69999694824219,99.20999908447266,27391400.0,0.0,0.0
2023-01-25,GOOG,97.19999694824219,97.72000122070312,95.26200103759766,96.7300033569336,31000900.0,0.0,0.0
2023-01-26,GOOG,98.27999877929688,99.20999908447266,96.81999969482422,99.16000366210938,24542100.0,0.0,0.0
2023-01-27,GOOG,99.05000305175781,101.58000183105469,98.97000122070312,100.70999908447266,29020400.0,0.0,0.0
2023-01-30,GOOG,98.74500274658203,99.40899658203125,97.5199966430664,97.94999694824219,24365100.0,0.0,0.0
2023-01-31,GOOG,97.86000061035156,99.91000366210938,97.79000091552734,99.87000274658203,22306800.0,0.0,0.0
2023-02-01,GOOG,99.73999786376953,102.19000244140625,98.41999816894531,101.43000030517578,26392600.0,0.0,0.0
2023-02-02,GOOG,106.79000091552734,108.81999969482422,106.54000091552734,108.80000305175781,46622600.0,0.0,0.0
2023-02-03,GOOG,103.51000213623047,108.0199966430664,103.30000305175781,105.22000122070312,36823400.0,0.0,0.0
2023-02-06,GOOG,102.68499755859375,104.69999694824219,102.20999908447266,103.47000122070312,25573000.0,0.0,0.0
2023-02-07,GOOG,103.62999725341797,108.66999816894531,103.5479965209961,108.04000091552734,33738800.0,0.0,0.0
2023-02-08,GOOG,102.69000244140625,103.58000183105469,98.45500183105469,100.0,73546000.0,0.0,0.0
2023-02-09,GOOG,100.54000091552734,100.61000061035156,93.86000061035156,95.45999908447266,97798600.0,0.0,0.0
2023-02-10,GOOG,95.73999786376953,97.0199966430664,94.52999877929688,94.86000061035156,49325300.0,0.0,0.0
2023-02-13,GOOG,95.01000213623047,95.3499984741211,94.05000305175781,95.0,43116600.0,0.0,0.0
2023-02-14,GOOG,94.66000366210938,95.17500305175781,92.6500015258789,94.94999694824219,42513100.0,0.0,0.0
2023-02-15,GOOG,94.73999786376953,97.33999633789062,94.36000061035156,97.0999984741211,36964500.0,0.0,0.0
2023-02-16,GOOG,95.54000091552734,97.87999725341797,94.97000122070312,95.77999877929688,35642100.0,0.0,0.0
2023-02-17,GOOG,95.06999969482422,95.75,93.44999694824219,94.58999633789062,31095100.0,0.0,0.0
2023-02-21,GOOG,93.23999786376953,93.41500091552734,92.0,92.05000305175781,28367200.0,0.0,0.0
2023-02-22,GOOG,91.93399810791016,92.36000061035156,90.87000274658203,91.80000305175781,29891100.0,0.0,0.0
2023-02-23,GOOG,92.12999725341797,92.12999725341797,90.01000213623047,91.06999969482422,32423700.0,0.0,0.0
2023-02-24,GOOG,89.62999725341797,90.12999725341797,88.86000061035156,89.3499984741211,31295600.0,0.0,0.0
2023-02-27,GOOG,90.08999633789062,90.44999694824219,89.61000061035156,90.0999984741211,22724300.0,0.0,0.0
2023-02-28,GOOG,89.54000091552734,91.44999694824219,89.5199966430664,90.30000305175781,30546900.0,0.0,0.0
2023-03-01,GOOG,90.16000366210938,91.19999694824219,89.8499984741211,90.51000213623047,26323900.0,0.0,0.0
2023-03-02,GOOG,89.86000061035156,92.4800033569336,89.7699966430664,92.30999755859375,23328600.0,0.0,0.0
2023-03-03,GOOG,92.73999786376953,94.11000061035156,92.66000366210938,94.0199966430664,30242500.0,0.0,0.0
2023-03-06,GOOG,94.36000061035156,96.30000305175781,94.30000305175781,95.58000183105469,28288200.0,0.0,0.0
2023-03-07,GOOG,95.41999816894531,96.08999633789062,93.84400177001953,94.16999816894531,24101500.0,0.0,0.0
2023-03-08,GOOG,94.40499877929688,96.23999786376953,94.40499877929688,94.6500015258789,25395200.0,0.0,0.0
2023-03-09,GOOG,94.48999786376953,95.91999816894531,92.3550033569336,92.66000366210938,24438900.0,0.0,0.0
2023-03-10,GOOG,92.5,93.18000030517578,90.80000305175781,91.01000213623047,32850100.0,0.0,0.0
2023-03-13,GOOG,90.56500244140625,93.08000183105469,89.94000244140625,91.66000366210938,31508600.0,0.0,0.0
2023-03-14,GOOG,93.06999969482422,94.83000183105469,92.77999877929688,94.25,32303900.0,0.0,0.0
2023-03-15,GOOG,93.54000091552734,97.25,93.04000091552734,96.55000305175781,38367300.0,0.0,0.0
2023-03-16,GOOG,96.56999969482422,101.97000122070312,95.87000274658203,101.06999969482422,54499500.0,0.0,0.0
2023-03-17,GOOG,100.83999633789062,103.48999786376953,100.75,102.45999908447266,76140300.0,0.0,0.0
2023-03-20,GOOG,101.05999755859375,102.58000183105469,100.79000091552734,101.93000030517578,26033900.0,0.0,0.0
2023-03-21,GOOG,101.9800033569336,105.95999908447266,101.86000061035156,105.83999633789062,33122800.0,0.0,0.0
2023-03-22,GOOG,105.13999938964844,107.51000213623047,104.20999908447266,104.22000122070312,32336900.0,0.0,0.0
2023-03-23,GOOG,105.88999938964844,107.10099792480469,105.41000366210938,106.26000213623047,31385800.0,0.0,0.0
2023-03-24,GOOG,105.73999786376953,106.16000366210938,104.73999786376953,106.05999755859375,25236200.0,0.0,0.0
2023-03-27,GOOG,105.31999969482422,105.4000015258789,102.62999725341797,103.05999755859375,25393400.0,0.0,0.0
2023-03-28,GOOG,103.0,103.0,100.27999877929688,101.36000061035156,24913500.0,0.0,0.0
2023-03-29,GOOG,102.72000122070312,102.81999969482422,101.02999877929688,101.9000015258789,26148300.0,0.0,0.0
2023-03-30,GOOG,101.44000244140625,101.61000061035156,100.29000091552734,101.31999969482422,25009800.0,0.0,0.0
