Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,datetime
117.29000091552734,121.27999877929688,116.5999984741211,119.47000122070312,66032900.0,0.0,0.0,AMD,2023-06-01
120.75,121.66000366210938,117.68000030517578,117.86000061035156,52331100.0,0.0,0.0,AMD,2023-06-02
116.58999633789062,119.31999969482422,116.41999816894531,117.93000030517578,52602900.0,0.0,0.0,AMD,2023-06-05
117.91000366210938,124.41999816894531,117.73999786376953,124.2300033569336,75257500.0,0.0,0.0,AMD,2023-06-06
124.02999877929688,125.33999633789062,117.06999969482422,117.83000183105469,81755200.0,0.0,0.0,AMD,2023-06-07
118.30000305175781,122.20999908447266,117.05000305175781,121.05000305175781,65246900.0,0.0,0.0,AMD,2023-06-08
123.56999969482422,127.25,123.55000305175781,124.91999816894531,75051600.0,0.0,0.0,AMD,2023-06-09
128.52000427246094,130.47999572753906,126.4000015258789,129.19000244140625,85394700.0,0.0,0.0,AMD,2023-06-12
132.32000732421875,132.8300018310547,122.44999694824219,124.52999877929688,132461900.0,0.0,0.0,AMD,2023-06-13
126.52999877929688,127.7300033569336,123.80999755859375,127.33000183105469,95888100.0,0.0,0.0,AMD,2023-06-14
125.38999938964844,125.69999694824219,122.26000213623047,124.23999786376953,85587100.0,0.0,0.0,AMD,2023-06-15
125.81999969482422,125.8499984741211,119.9000015258789,120.08000183105469,81846900.0,0.0,0.0,AMD,2023-06-16
119.08999633789062,121.75,117.69999694824219,118.93000030517578,58851800.0,0.0,0.0,AMD,2023-06-20
118.48999786376953,119.19000244140625,111.66999816894531,112.11000061035156,82835600.0,0.0,0.0,AMD,2023-06-21
112.23999786376953,114.0,109.8499984741211,110.69999694824219,70754800.0,0.0,0.0,AMD,2023-06-22
109.30999755859375,111.0999984741211,107.45999908447266,110.01000213623047,73545600.0,0.0,0.0,AMD,2023-06-23
110.94999694824219,112.55000305175781,107.19999694824219,107.51000213623047,68557000.0,0.0,0.0,AMD,2023-06-26
108.56999969482422,110.97000122070312,107.08000183105469,110.38999938964844,59381600.0,0.0,0.0,AMD,2023-06-27
108.20999908447266,111.77999877929688,107.62999725341797,110.16999816894531,67534100.0,0.0,0.0,AMD,2023-06-28
112.06999969482422,112.76000213623047,109.83999633789062,111.23999786376953,58347200.0,0.0,0.0,AMD,2023-06-29
113.02999877929688,114.69000244140625,112.41000366210938,113.91000366210938,53331900.0,0.0,0.0,AMD,2023-06-30
115.16000366210938,116.7300033569336,114.51000213623047,115.81999969482422,31860000.0,0.0,0.0,AMD,2023-07-03
116.0999984741211,117.66000366210938,113.86000061035156,113.94999694824219,49501600.0,0.0,0.0,AMD,2023-07-05
112.06999969482422,113.79000091552734,110.30999755859375,113.4800033569336,42342000.0,0.0,0.0,AMD,2023-07-06
114.16000366210938,115.33000183105469,113.04000091552734,113.16999816894531,37135100.0,0.0,0.0,AMD,2023-07-07
113.0,113.61000061035156,109.87999725341797,113.58000183105469,49330200.0,0.0,0.0,AMD,2023-07-10
111.66000366210938,113.2699966430664,109.5,111.31999969482422,59899500.0,0.0,0.0,AMD,2023-07-11
112.88999938964844,115.4000015258789,112.30999755859375,114.58000183105469,57993100.0,0.0,0.0,AMD,2023-07-12
115.76000213623047,116.16000366210938,113.58000183105469,115.91999816894531,49206700.0,0.0,0.0,AMD,2023-07-13
116.16999816894531,122.12000274658203,115.25,115.94000244140625,91847300.0,0.0,0.0,AMD,2023-07-14
115.94999694824219,118.83999633789062,112.7300033569336,118.31999969482422,68593300.0,0.0,0.0,AMD,2023-07-17
117.55000305175781,118.43000030517578,115.19000244140625,117.93000030517578,57980100.0,0.0,0.0,AMD,2023-07-18
121.30000305175781,121.66999816894531,115.55000305175781,116.43000030517578,70363100.0,0.0,0.0,AMD,2023-07-19
114.95999908447266,115.05000305175781,109.23999786376953,110.25,76340400.0,0.0,0.0,AMD,2023-07-20
110.97000122070312,112.30000305175781,109.54000091552734,110.94999694824219,76778100.0,0.0,0.0,AMD,2023-07-21
110.62000274658203,111.30999755859375,108.55000305175781,110.61000061035156,45583600.0,0.0,0.0,AMD,2023-07-24
111.13999938964844,114.05000305175781,111.0,113.0,44916300.0,0.0,0.0,AMD,2023-07-25
111.91000366210938,112.36000061035156,109.30000305175781,110.08999633789062,51721700.0,0.0,0.0,AMD,2023-07-26
